epoch,phase,train_loss,val_loss,macro_accuracy,macro_precision,macro_recall,macro_specificity,macro_f1,macro_dice,macro_jaccard,macro_auc_roc,MEL_accuracy,MEL_precision,MEL_recall,MEL_specificity,MEL_f1,MEL_dice,MEL_jaccard,MEL_auc_roc,NV_accuracy,NV_precision,NV_recall,NV_specificity,NV_f1,NV_dice,NV_jaccard,NV_auc_roc,BCC_accuracy,BCC_precision,BCC_recall,BCC_specificity,BCC_f1,BCC_dice,BCC_jaccard,BCC_auc_roc,AKIEC_accuracy,AKIEC_precision,AKIEC_recall,AKIEC_specificity,AKIEC_f1,AKIEC_dice,AKIEC_jaccard,AKIEC_auc_roc,BKL_accuracy,BKL_precision,BKL_recall,BKL_specificity,BKL_f1,BKL_dice,BKL_jaccard,BKL_auc_roc,DF_accuracy,DF_precision,DF_recall,DF_specificity,DF_f1,DF_dice,DF_jaccard,DF_auc_roc,VASC_accuracy,VASC_precision,VASC_recall,VASC_specificity,VASC_f1,VASC_dice,VASC_jaccard,VASC_auc_roc
1,1,0.531842,0.438763,0.5294,0.382,0.4671,0.9175,0.3693,0.3699,0.2346,0.8245,0.8135,0.3208,0.5441,0.853,0.4013,0.4013,0.0936,0.8054,0.7176,0.8885,0.6164,0.883,0.7279,0.7279,0.4122,0.8476,0.8264,0.2128,0.6709,0.8389,0.3291,0.3291,0.0694,0.8742,0.9297,0.2321,0.539,0.9458,0.3052,0.3052,0.0464,0.9045,0.8414,0.5307,0.1657,0.9726,0.2498,0.2498,0.03,0.7779,0.9535,0.1949,0.2675,0.9793,0.2229,0.2229,0.0265,0.8265,0.9563,0.247,0.4846,0.9509,0.3313,0.3313,0.0802,0.864
2,1,0.454202,0.385373,0.5345,0.3724,0.4833,0.9186,0.386,0.3674,0.26,0.8439,0.8138,0.3248,0.5468,0.836,0.4155,0.4155,0.1128,0.8124,0.7335,0.8996,0.6065,0.892,0.7224,0.7224,0.4071,0.8633,0.8333,0.2113,0.675,0.8383,0.3397,0.3397,0.0742,0.8877,0.9389,0.2267,0.5398,0.9382,0.3184,0.3184,0.065,0.9244,0.8618,0.535,0.1809,0.9683,0.2575,0.2575,0.0341,0.8042,0.9634,0.2359,0.3025,0.9773,0.2371,0.2371,0.0344,0.8403,0.9584,0.2527,0.4976,0.9682,0.3234,0.3234,0.0658,0.8643
3,1,0.398523,0.355232,0.5553,0.3875,0.5002,0.9294,0.3961,0.3961,0.2683,0.8493,0.8167,0.3461,0.5605,0.8504,0.4357,0.4357,0.1256,0.8036,0.7209,0.8895,0.6322,0.8902,0.7266,0.7266,0.4159,0.8539,0.8334,0.238,0.6913,0.8377,0.3532,0.3532,0.0816,0.8932,0.9304,0.2075,0.5586,0.9334,0.3126,0.3126,0.0616,0.8902,0.8693,0.5486,0.19,0.9788,0.2652,0.2652,0.0381,0.7868,0.9743,0.2296,0.2907,0.9682,0.2684,0.2684,0.0467,0.8318,0.9524,0.2601,0.5035,0.9739,0.3468,0.3468,0.0709,0.8634
4,1,0.361561,0.317405,0.5516,0.3838,0.4964,0.9262,0.4084,0.4047,0.2764,0.8441,0.8176,0.3537,0.5602,0.8515,0.4332,0.4332,0.1155,0.7954,0.7374,0.8904,0.6407,0.9043,0.7488,0.7488,0.4503,0.8691,0.8324,0.2591,0.6957,0.8467,0.3694,0.3694,0.0818,0.8833,0.9285,0.2624,0.5568,0.9306,0.339,0.339,0.0661,0.9257,0.8691,0.5604,0.2038,0.9847,0.2874,0.2874,0.051,0.7856,0.9527,0.2637,0.3143,0.982,0.2722,0.2722,0.0413,0.8446,0.9407,0.3004,0.5135,0.9794,0.3545,0.3545,0.0801,0.8603
5,1,0.335596,0.310187,0.564,0.4237,0.5023,0.9286,0.4108,0.397,0.2976,0.8639,0.8274,0.3672,0.5707,0.8655,0.4393,0.4393,0.1278,0.8127,0.7344,0.9053,0.6486,0.8808,0.7499,0.7499,0.4526,0.8605,0.8401,0.2893,0.6945,0.8673,0.3758,0.3758,0.0917,0.9021,0.9208,0.2748,0.5592,0.9537,0.3684,0.3684,0.0921,0.9226,0.8661,0.5648,0.2409,0.9876,0.3144,0.3144,0.0645,0.7942,0.949,0.2726,0.3184,0.9779,0.2721,0.2721,0.0426,0.8471,0.9374,0.3036,0.5364,0.9766,0.3574,0.3574,0.0708,0.88
6,1,0.341504,0.296623,0.5616,0.4422,0.4997,0.9332,0.4093,0.4114,0.3047,0.8653,0.8415,0.3839,0.5743,0.858,0.458,0.458,0.1396,0.809,0.7437,0.8958,0.6537,0.8879,0.754,0.754,0.4573,0.8695,0.8521,0.2827,0.706,0.8613,0.3882,0.3882,0.0916,0.9038,0.9098,0.3133,0.5905,0.9426,0.3879,0.3879,0.0885,0.9201,0.8575,0.5836,0.2304,0.9864,0.3139,0.3139,0.0566,0.8023,0.9857,0.2718,0.3488,0.9801,0.3218,0.3218,0.0673,0.8298,0.9575,0.321,0.5411,0.9586,0.3816,0.3816,0.0898,0.8563
7,1,0.324658,0.29756,0.5894,0.4494,0.52,0.9115,0.4412,0.4306,0.3209,0.8771,0.8401,0.3933,0.5831,0.8596,0.4795,0.4795,0.1391,0.8198,0.768,0.8934,0.6608,0.8963,0.7655,0.7655,0.4819,0.863,0.8412,0.3045,0.7306,0.8802,0.4127,0.4127,0.1104,0.8858,0.9499,0.2971,0.5716,0.951,0.376,0.376,0.0881,0.9141,0.8775,0.5779,0.2724,0.9854,0.3236,0.3236,0.0651,0.8059,0.9535,0.2827,0.3423,0.9736,0.303,0.303,0.0548,0.8423,0.9591,0.3359,0.5602,0.9734,0.3894,0.3894,0.0974,0.8929
8,1,0.321678,0.280333,0.5808,0.4596,0.5358,0.9521,0.4452,0.4477,0.3359,0.8403,0.8508,0.4062,0.584,0.8681,0.4895,0.4895,0.1601,0.7981,0.7662,0.9022,0.6718,0.8878,0.7754,0.7754,0.4959,0.8718,0.8549,0.338,0.7215,0.8613,0.42,0.42,0.114,0.9127,0.9319,0.3099,0.601,0.942,0.3811,0.3811,0.0845,0.9346,0.868,0.5831,0.2557,0.9773,0.3381,0.3381,0.0679,0.8115,0.955,0.3088,0.3667,0.9632,0.3273,0.3273,0.0683,0.8489,0.9749,0.3356,0.55,0.9827,0.4121,0.4121,0.1055,0.8723
9,2,0.319801,0.280284,0.5998,0.4672,0.5432,0.9187,0.4539,0.4631,0.3391,0.8665,0.8369,0.418,0.5798,0.8832,0.4906,0.4906,0.1552,0.8266,0.7439,0.9048,0.6637,0.8875,0.7681,0.7681,0.4872,0.88,0.8508,0.3413,0.7259,0.8844,0.4191,0.4191,0.116,0.9135,0.9134,0.3254,0.5766,0.9408,0.3942,0.3942,0.0985,0.9383,0.8786,0.5855,0.2642,0.9675,0.3306,0.3306,0.0698,0.8072,0.9757,0.3196,0.3862,0.9702,0.3558,0.3558,0.0753,0.8506,0.9406,0.3233,0.5492,0.9745,0.4189,0.4189,0.1148,0.8804
10,2,0.271845,0.25575,0.6392,0.5255,0.6007,0.9304,0.5012,0.5206,0.4163,0.8938,0.8592,0.4779,0.6333,0.9021,0.5361,0.5361,0.1999,0.8465,0.801,0.9318,0.7122,0.9121,0.7953,0.7953,0.5242,0.8797,0.8617,0.3855,0.7464,0.8811,0.501,0.501,0.1659,0.8884,0.9532,0.427,0.6274,0.9652,0.4778,0.4778,0.1446,0.9099,0.8955,0.6252,0.3467,0.9818,0.4456,0.4456,0.1198,0.8283,0.9654,0.3848,0.4369,0.9719,0.4086,0.4086,0.1035,0.8595,0.9747,0.4127,0.6026,0.9753,0.4938,0.4938,0.1635,0.8993
11,2,0.268329,0.239128,0.6571,0.5442,0.6072,0.943,0.5503,0.5615,0.438,0.8759,0.8879,0.5288,0.6637,0.9173,0.5978,0.5978,0.252,0.8509,0.8161,0.9173,0.7452,0.9226,0.806,0.806,0.5497,0.9034,0.8817,0.4656,0.7933,0.9005,0.5163,0.5163,0.1784,0.908,0.9384,0.4463,0.6805,0.9614,0.4872,0.4872,0.1598,0.9105,0.9065,0.6591,0.4021,0.9719,0.4693,0.4693,0.1499,0.8623,0.9645,0.4397,0.4786,0.9652,0.4445,0.4445,0.134,0.8677,0.9877,0.4509,0.6186,0.9676,0.5257,0.5257,0.1866,0.9084
12,2,0.254258,0.244132,0.6905,0.5761,0.6404,0.9621,0.5892,0.5941,0.4724,0.8885,0.8825,0.5439,0.6924,0.9135,0.5751,0.5751,0.2263,0.8628,0.837,0.9175,0.7567,0.922,0.8291,0.8291,0.5902,0.8962,0.902,0.4823,0.7835,0.8966,0.5551,0.5551,0.2129,0.9088,0.9563,0.4986,0.6436,0.9654,0.4984,0.4984,0.1675,0.9012,0.8961,0.6777,0.4312,0.9811,0.505,0.505,0.1745,0.8441,0.9743,0.4628,0.5185,0.9929,0.4805,0.4805,0.1542,0.8744,0.9548,0.5059,0.6446,0.992,0.5641,0.5641,0.2153,0.9018
13,2,0.220416,0.230351,0.7089,0.5988,0.6593,0.9355,0.5906,0.5991,0.5003,0.9083,0.8699,0.5684,0.7136,0.9148,0.6008,0.6008,0.2544,0.8757,0.8396,0.9396,0.7895,0.9254,0.8423,0.8423,0.6215,0.9282,0.899,0.5217,0.8032,0.9099,0.5784,0.5784,0.2381,0.9175,0.9662,0.4953,0.7145,0.9622,0.5549,0.5549,0.2146,0.9123,0.9144,0.7042,0.4513,0.9784,0.5298,0.5298,0.19,0.8725,0.9614,0.4976,0.5384,0.988,0.5038,0.5038,0.1732,0.8789,0.9825,0.5149,0.6589,0.9827,0.5719,0.5719,0.233,0.9222
14,2,0.212354,0.234553,0.7354,0.6362,0.6909,0.9405,0.6309,0.6421,0.5148,0.9118,0.9121,0.6033,0.6998,0.9161,0.6491,0.6491,0.3076,0.889,0.8511,0.9369,0.7926,0.9268,0.8484,0.8484,0.626,0.9145,0.8911,0.5483,0.8033,0.9127,0.6047,0.6047,0.2652,0.9124,0.9268,0.5306,0.6917,0.947,0.5736,0.5736,0.2293,0.9483,0.914,0.7167,0.5157,0.984,0.5594,0.5594,0.2154,0.8701,0.972,0.53,0.6052,0.9869,0.5338,0.5338,0.1889,0.8774,0.9921,0.5325,0.7115,0.9906,0.5897,0.5897,0.2487,0.9326
